StopType,StopNaPTAN,AliasName
R,9100LESTER,Lester
R,9100HAYESAH,Harlington (Greater London)
R,9100GTSHDMC,Gateshead Metrocentre
R,9100SNDWDUD,Dudley
R,9100BLFR,Blackfriars
