CarParkRef,CarParkName,URL,MinimumCost,Note,Easting,Northing
929808,Costessey Park and Ride,http://www.passengertransport.norfolk.gov.uk/publictransport/parkandride.htm,150,£1.50 per vehicle Monday to Friday after 12.30p.m. or £3 per vehicle for all day parking,615650,310159
929809,Harford Park and Ride,http://www.passengertransport.norfolk.gov.uk/publictransport/parkandride.htm,150,£1.50 per vehicle Monday to Friday after 12.30p.m. or £3 per vehicle for all day parking,621797,303986
929810,Postwick Park and Ride,http://www.passengertransport.norfolk.gov.uk/publictransport/parkandride.htm,150,£1.50 per vehicle Monday to Friday after 12.30p.m. or £3 per vehicle for all day parking,628818,308326
929811,Sprowston Park and Ride,http://www.passengertransport.norfolk.gov.uk/publictransport/parkandride.htm,150,£1.50 per vehicle Monday to Friday after 12.30p.m. or £3 per vehicle for all day parking,625526,312665
929812,Thickthorn Park and Ride,http://www.passengertransport.norfolk.gov.uk/publictransport/parkandride.htm,150,£1.50 per vehicle Monday to Friday after 12.30p.m. or £3 per vehicle for all day parking,618213,305496
929817,Babraham Road Park and Ride site,http://www.cambridgeshire.gov.uk/transport/around/park_ride/,0,,547757,254487
929818,Cowley Road Park and Ride Site,http://www.cambridgeshire.gov.uk/transport/around/park_ride/,0,,547031,261349
929819,Madingley Road Park and Ride Site,http://www.cambridgeshire.gov.uk/transport/around/park_ride/,0,,542456,259432
929820,Newmarket Road Park and Ride site,http://www.cambridgeshire.gov.uk/transport/around/park_ride/,0,,549176,259343
929821,Trumpington Park and Ride,http://www.cambridgeshire.gov.uk/transport/around/park_ride/,0,,544309,254247
929691,Meynells Gorse Park and Ride,http://www.leicester.gov.uk/departments/page.asp?pgid=7486,0,,454096,303641
929829,Moor Bridge Park and Ride,http://www.nottinghamcity.gov.uk/sitemap/transport_and_streets/cdtp_public_transport/cdt_park_and_ride.htm,0,,454624,346727
929830,Hucknell Park and Ride,http://www.nottinghamcity.gov.uk/sitemap/transport_and_streets/cdtp_public_transport/cdt_park_and_ride.htm,0,,454035,349150
929831,Phoenix Park and Ride,http://www.nottinghamcity.gov.uk/sitemap/transport_and_streets/cdtp_public_transport/cdt_park_and_ride.htm,0,,453304,343787
929832,Queens Drive Park and Ride,http://www.nottinghamcity.gov.uk/sitemap/transport_and_streets/cdtp_public_transport/cdt_park_and_ride.htm,230,,456218,337215
929827,The Forest Park and Ride,http://www.nottinghamcity.gov.uk/sitemap/transport_and_streets/cdtp_public_transport/cdt_park_and_ride.htm,0,,456722,341443
929891,Racecourse Park and Ride,http://www.nottinghamcity.gov.uk/sitemap/transport_and_streets/cdtp_public_transport/cdt_park_and_ride.htm,230,,459546,339412
