National Gazetteer ID
N0073046
N0073050
N0078558
N0071506
N0073300
N0073411
ES000023
E0040755
N0077430
E0015729
N0070150
N0070215
N0073443
N0077397
N0071268
E0035273
N0078208
N0078062
E0026321
N0077948
N0070152
E0037240
N0060320
N0076717
N0070137
N0077505
N0070179
E0039960
N0072530
N0078250
N0064856
N0077346
E0020054
E0037245
N0073037
N0073447
N0073376
N0077444
N0076642
N0077111
N0060684
E0057864
E0037927
N0060629
N0076118
N0060567
N0076751
N0060311
E0042655
N0078123
E0025105
N0060278
N0071769
N0060276
N0070153
E0011741
N0077891
N0074893
N0067401
E0047758
N0077340
N0077439
N0060195
N0074897
E0057557
N0077792
N0073102
N0072578
N0078076
N0072532
E0035274
E0040121
E0020070
N0077212
N0074899
N0078335
E0005547
N0064859
N0060768
E0008189
N0060779
N0077005
N0076761
N0068021
N0073422
N0076762
E0053596
N0078342
N0076879
N0077778
N0060754
N0077495
N0078031
E0039358
N0061193
N0074917
E0040123
N0076049
N0073167
N0074920
N0060536
E0021311
E0056630
E0023473
N0071914
N0076358
N0060383
E0043328
N0077260
N0060365
N0077139
E0057615
N0077496
E0016449
N0080076
E0054000
E0035825
N0071550
N0078065
N0060316
E0038900
N0061043
E0036708
N0065226
N0073955
N0061361
N0074937
N0072122
N0076908
N0076773
N0077392
N0077391
N0070132
N0070156
N0077819
N0076774
N0077367
N0078678
N0074942
N0077407
N0073168
N0060057
E0056139
N0078021
N0061374
E0056641
N0076779
N0077927
E0035940
E0019527
E0037281
N0077319
E0042840
N0061123
N0060165
N0070173
E0039649
N0079219
N0060111
N0061031
N0060510
N0074952
E0034345
N0072097
N0078197
N0071704
E0054895
N0060366
E0043352
N0060511
E0057875
N0078217
N0077506
N0073428
N0076330
N0078853
ES001110
ES000536
ES001176
N0070134
N0076138
N0064855
N0072101
N0065278
N0079147
N0074782
N0060785
N0078622
N0074375
N0073492
N0060720
N0078415
N0078414
E0012987
N0077187
N0065362
E0055597
N0074977
N0061198
E0046321
N0060113
N0078248
N0074981
N0077497
N0077968
E0025137
E0010236
N0073400
