"From Region","To Region","NaPTAN","Date of Last Change","Date of Issue","Issue Version","Easting","Northing"
"EM","Y","370045988","05/08/2005","25/05/2010","386",458724,392392
"Y","EM","370046242","05/08/2005","25/05/2010","386",468955,411118
"EM","Y","370046243","05/08/2005","25/05/2010","386",468955,411108
"EM","WM","3800C304300","15/08/2005","25/05/2010","386",426068,326819
"WM","EM","3800C304301","15/08/2005","25/05/2010","386",426061,326826
"EM","WM","3800C306300","15/08/2005","25/05/2010","386",415803,345821
"WM","EM","3800C306301","15/08/2005","25/05/2010","386",415811,345835
"EM","WM","3800C311300","15/08/2005","25/05/2010","386",427590,322747
"WM","EM","3800C311301","15/08/2005","25/05/2010","386",427578,322754
"EM","WM","3800C320501","15/08/2005","25/05/2010","386",424956,324470
"WM","EM","3800C320502","15/08/2005","25/05/2010","386",425010,324518
"WM","EM","3800C326501","20/10/2005 16:11:01","25/05/2010","386",426385,324259
"EM","WM","3800C326502","20/10/2005 16:12:01","25/05/2010","386",426372,324202
"WM","EM","3800C335101","20/10/2005 16:24:47","25/05/2010","386",426152,326675
"EM","WM","3800C335102","20/10/2005 16:25:29","25/05/2010","386",426192,326639
"EM","WM","3800C335901","15/08/2005","25/05/2010","386",409706,333955
"WM","EM","3800C347101","15/08/2005","25/05/2010","386",409389,333720
"EM","WM","3800C811300","15/08/2005","25/05/2010","386",403185,367876
"WM","EM","3800C811301","20/12/2007 17:22:06","25/05/2010","386",403154,367900
"WM","EM","3800C820401","15/08/2005","25/05/2010","386",408846,364902
"EM","WM","3800C820402","15/08/2005","25/05/2010","386",408855,364891
"SE","EA","390010094","15/08/2005","25/05/2010","386",590678,234054
"EA","SE","390010095","15/08/2005","25/05/2010","386",590674,234061
"EA","SE","390010098","15/08/2005","25/05/2010","386",596915,234287
"SE","EA","390010099","15/08/2005","25/05/2010","386",596915,234280
"SE","EA","390010117","15/08/2005","25/05/2010","386",604742,234379
"EA","SE","390010118","15/08/2005","25/05/2010","386",604742,234391
"SE","EA","390010314","15/08/2005","25/05/2010","386",586428,240725
"EA","SE","390010315","15/08/2005","25/05/2010","386",586419,240727
"SE","EA","390010734","20/10/2005 16:30:24","25/05/2010","386",586054,243508
"EA","SE","390010735","20/10/2005 16:31:45","25/05/2010","386",586046,243507
"EA","SE","390050345","15/08/2005","25/05/2010","386",567913,244804
"SE","EA","390050346","15/08/2005","25/05/2010","386",567894,244836
"WM","SE","4200F015100","15/08/2005","25/05/2010","386",429381,236850
"SE","WM","4200F015200","15/08/2005","25/05/2010","386",429322,236757
"EM","WM","4200F016200","21/10/2005 11:42:40","25/05/2010","386",453058,276361
"SE","WM","4200F021900","15/08/2005","25/05/2010","386",443406,249764
"SE","WM","4200F039000","27/03/2006 14:05:34","25/05/2010","386",425604,230172
"WM","SE","4200F040800","15/08/2005","25/05/2010","386",431453,239279
"SE","WM","4200F041000","15/08/2005","25/05/2010","386",431419,239274
"WM","SE","4200F070600","15/08/2005","25/05/2010","386",433943,244055
"SE","WM","4200F070700","15/08/2005","25/05/2010","386",433995,244245
"WM","EM","4200F080900","15/08/2005","25/05/2010","386",442930,287780
"EM","WM","4200F080902","15/08/2005","25/05/2010","386",442914,287780
"WM","SE","4200F087600","21/10/2005 11:46:56","25/05/2010","386",425823,229951
"SE","WM","4200F155001","18/02/2010 14:45:50","25/05/2010","386",428766,232983
"WM","SE","4200F155002","18/02/2010 14:48:16","25/05/2010","386",428781,232983
"WM","SE","4200F161301","15/08/2005","25/05/2010","386",443628,250131
"WM","EM","4200F167202","21/10/2005 11:47:30","25/05/2010","386",453055,276378
"WM","EM","4200F188801","05/03/2007 15:49:31","25/05/2010","386",452951,273667
"EM","WM","4200F188802","05/03/2007 15:46:54","25/05/2010","386",452959,273651
"SW","SE","4600WIA13220","05/08/2005","25/05/2010","386",432130,170426
"SE","SW","4600WIA13221","05/08/2005","25/05/2010","386",432127,170415
"SE","SW","4600WIA13251","05/08/2005","25/05/2010","386",432530,164824
"SW","SE","4600WIA13252","05/08/2005","25/05/2010","386",432555,164900
"SW","SE","4600WIA13291","05/08/2005","25/05/2010","386",430428,167975
"SE","SW","4600WIA13292","05/08/2005","25/05/2010","386",430417,167965
"SE","SW","4680SWA10926","05/08/2005","25/05/2010","386",424917,183758
"SW","SE","4680SWA10927","05/08/2005","25/05/2010","386",424906,183762
"SW","SE","4680SWA10930","05/08/2005","25/05/2010","386",420360,187158
"SE","SW","4680SWA37579","22/12/2006 13:45:45","25/05/2010","386",420355,187178
"SW","SE","4680SWA37580","22/12/2006 13:47:56","25/05/2010","386",420371,187180
"SE","SW","4680TTY38576","05/08/2005","25/05/2010","386",420363,187143
"S","NE","680000153505","15/08/2005","25/05/2010","386",332451,567237
"NE","S","680000153506","15/08/2005","25/05/2010","386",332431,567234
"NE","S","680000163111","15/08/2005","25/05/2010","386",339200,576161
"S","NE","680000163222","15/08/2005","25/05/2010","386",339212,576160
"NE","S","6900113","15/08/2005","25/05/2010","386",369669,606900
"NE","S","69001526","26/03/2007 14:55:03","25/05/2010","386",394555,655326
"S","NE","6900307","15/08/2005","25/05/2010","386",394529,655345
"NE","S","6900599","15/08/2005","25/05/2010","386",397241,657490
"S","NE","6900600","15/08/2005","25/05/2010","386",397248,657575
"EA","SE","9300FXT","24/05/2006 14:34:52","25/05/2010","386",628315,232010
"SE","EA","9300FXT","24/05/2006 14:38:01","25/05/2010","386",628315,232010
"EA","SE","9300SHY","24/05/2006 14:32:42","25/05/2010","386",625218,233837
"SE","EA","9300SHY","24/05/2006 14:36:45","25/05/2010","386",625218,233837
