"NaPTAN","Name","Easting","Northing","Date of Issue","Issue Version","Group ID"
"9300COT","Colintraive Ferry Terminal",203110,674522,"25/05/2010","386",
"9300COW","East Cowes Ferry Terminal",450174,95742,"25/05/2010","386",
"9300CPB","Campbeltown Ferry Terminal",172329,620353,"25/05/2010","386",
"9300CQU","Christchurch Quay Ferry Landing",415548,92292,"25/05/2010","386",
"9300CRE","Cremyll Mount Edgcumbe Ferry Landing",245410,53445,"25/05/2010","386",
"9300CRN","Cromarty Ferry Terminal",278590,867703,"25/05/2010","386",
"9300CRR","Nether Lochaber Ferry Terminal",202118,763547,"25/05/2010","386",
"9300CSY","Colonsay Ferry Terminal",139432,694108,"25/05/2010","386",
"9300CUM","Cumbrae Ferry Terminal",218370,658625,"25/05/2010","386",
"9300CUN","North Cuan Seil Ferry Terminal",175360,714285,"25/05/2010","386",
"9300CWR","Cape Wrath Ferry Landing",237112,966043,"25/05/2010","386",
"9300CYN","Cairnryan Ferry Terminal",207105,567621,"25/05/2010","386",
"9300DIT","Dittisham Ferry Landing",286665,54815,"25/05/2010","386",
"9300DNE","Dartmouth North Embankment Ferry Terminal",287880,51362,"25/05/2010","386",
"9300DNU","Dunoon Ferry Terminal",217675,676459,"25/05/2010","386",
"9300DNV","Dartmouth Naval College Ferry Terminal",287925,51945,"25/05/2010","386",
"9300DRM","Drimnin Ferry Landing",155598,753925,"25/05/2010","386",
"9300DTI","Ditton Island Ferry Landing",516204,167296,"25/05/2010","386",
"9300DTM","Dartmouth South Embankment Ferry Terminal",287857,51070,"25/05/2010","386",
"9300DUR","Durness Keoldale Ferry Landing",237745,966131,"25/05/2010","386",
"9300DVE","Dover Eastern Docks Ferry Terminal",632905,141592,"25/05/2010","386",
"9300DVP","Devonport Ferry Terminal",244797,55198,"25/05/2010","386",
"9300DVW","Dover Western Docks Ferry Terminal",632115,140525,"25/05/2010","386",
"9300EAI","Easdale Seil Ferry Landing",174138,717233,"25/05/2010","386",
