"NaPTAN","Name","Easting","Northing","Date of Issue","Issue Version","Group ID"
"9300TBP","Torquay Harbour Boarding Pontoon",291825,63235,"25/05/2010","386",
"9300TCK","Trelisick Ferry Landing",184035,39595,"25/05/2010","386",
"9300TCO","Tresco Isles Of Scilly Ferry Landing",89296,13379,"25/05/2010","386",
"9300TEN","Tenby Ferry Landing",213548,200622,"25/05/2010","386",
"9300THM","Topsham Ferry Landing",296520,88000,"25/05/2010","386",
"9300TIG","Tighnabruaich Pier Ferry Terminal",198584,673301,"25/05/2010","386",
"9300TIL","Tilbury Ferry Terminal",564504,175069,"25/05/2010","386",
"9300TLI","Turf Lock Inn Ferry Landing",296256,87972,"25/05/2010","386",
"9300TLN","Tarbet Loch Nevis Ferry Landing",179082,792512,"25/05/2010","386",
"9300TMP","Tower Millennium Pier",533443,180459,"25/05/2010","386",
"9300TNM","Teignmouth Ferry Landing",293885,72425,"25/05/2010","386",
"9300TOB","Tobermory Mull Ferry Terminal",150845,755327,"25/05/2010","386",
"9300TOF","Toft Shetland Ferry Terminal",443712,1176169,"25/05/2010","386",
"9300TOL","Tolverne Ferry Landing",184552,40218,"25/05/2010","386",
"9300TOR","Torquay - North Quay",291736,63369,"25/05/2010","386",
"9300TOT","Totnes Ferry Landing",280644,60012,"25/05/2010","386",
"9300TPT","Torpoint Ferry Terminal",244163,55135,"25/05/2010","386",
"9300TRE","Tiree Ferry Terminal",104867,745462,"25/05/2010","386",
"9300TRN","Troon Ferry Terminal",230846,631647,"25/05/2010","386",
"9300TSC","Tarbet Scourie Ferry Landing",216357,948842,"25/05/2010","386",
"9300TUK","Tuckton Tea Gardens Ferry Landing",414895,92249,"25/05/2010","386",
"9300TWL","Tingwall Orkney Ferry Terminal",340305,1022885,"25/05/2010","386",
"9300TYL","Tayinloan Ferry Terminal",169295,646555,"25/05/2010","386",
"9300UIG","Uig Skye Ferry Terminal",138535,863585,"25/05/2010","386",
"9300ULL","Ullapool Ferry Terminal",212777,893880,"25/05/2010","386",
"9300ULS","Ulsta Shetland Ferry Terminal",446328,1179456,"25/05/2010","386",
"9300ULV","Ulva Ferry Landing",144573,739837,"25/05/2010","386",
"9300VID","Vidlin Shetland Ferry Terminal",448115,1165742,"25/05/2010","386",
"9300WAL","Wallasea Island Ferry Landing",593582,195281,"25/05/2010","386",
"9300WAR","Warsash Ferry Landing",448877,106255,"25/05/2010","386",
"9300WAS","Woolwich Arsenal Pier",543855,179467,"25/05/2010","386",
"9300WBU","West Burrafirth Shetland Ferry Terminal",425535,1156909,"25/05/2010","386",
"9300WEY","Weymouth Ferry Terminal",368360,78827,"25/05/2010","386",
"9300WIC","Wick Christchurch Ferry Landing",415570,92186,"25/05/2010","386",
"9300WLB","Walberswick Ferry Landing",650068,274970,"25/05/2010","386",
"9300WLN","West Lynn Ferry Landing",561323,320309,"25/05/2010","386",
"9300WLS","Walls Shetland Ferry Terminal",424011,1148907,"25/05/2010","386",
"9300WMB","Wemyss Bay Ferry Terminal",219250,668510,"25/05/2010","386",
"9300WMP","London Eye Millennium Pier",530593,179999,"25/05/2010","386",
"9300WMR","Westminster Millennium Pier",530349,179737,"25/05/2010","386",
"9300WOO","Woodside Birkenhead Ferry Terminal",332937,389150,"25/05/2010","386",
"9300WPT","Warren Point Ferry Landing",253775,47755,"25/05/2010","386",
"9300WRQ","Wandsworth Riverside Quarter Pier",525209,175293,"25/05/2010","386",
"9300WSM","Weston-super-Mare Knightstone Harbour",331220,161780,"25/05/2010","386",
"9300WWC","Woolwich Ferry North Pier",543214,179754,"25/05/2010","386",
"9300WWS","Woolwich Ferry South Pier",543244,179374,"25/05/2010","386",
"9300WYB","Weybridge Ferry Landing",507504,165872,"25/05/2010","386",
"9300WYR","Wyre Orkney Ferry Terminal",344430,1026850,"25/05/2010","386",
"9300YMO","Yarmouth IOW Ferry Terminal",435368,89752,"25/05/2010","386",
"9300YOK","Yoker Ferry Terminal",251167,668559,"25/05/2010","386",
"9300YVZ","Plymouth Stonehouse Ferry Terminal",246160,53985,"25/05/2010","386",
