"Primary ID","Alternate ID","Date of Last Change","Date of Issue","Issue Version"
"E0015366","N0078665","13/12/2009","25/05/2010","386"
"E0029886","E0029616","17/09/2002","25/05/2010","386"
"E0029663","E0029662","17/09/2002","25/05/2010","386"
"N0071070","E0029734","17/09/2002","25/05/2010","386"
"E0029762","E0029761","17/09/2002","25/05/2010","386"
"E0029817","E0029816","17/09/2002","25/05/2010","386"
"N0071071","E0029896","17/09/2002","25/05/2010","386"
"E0029955","E0029956","17/09/2002","25/05/2010","386"
"E0029636","N0078137","30/07/2008","25/05/2010","386"
"E0018781","N0071624","24/06/2005","25/05/2010","386"
"E0049917","N0070216","22/07/2002","25/05/2010","386"
"E0020489","N0061003","10/03/2006","25/05/2010","386"
"E0050365","N0078149","03/03/2007","25/05/2010","386"
"E0050841","N0078662","12/12/2009","25/05/2010","386"
"E0030660","N0071592","01/10/2002","25/05/2010","386"
"N0078216","N0078217","24/07/2007","25/05/2010","386"
"E0024026","E0024025","12/07/2004","25/05/2010","386"
"E0024603","E0024577","12/07/2004","25/05/2010","386"
"N0077000","N0077067","12/07/2004","25/05/2010","386"
"N0076955","N0077069","12/07/2004","25/05/2010","386"
"N0076897","N0077070","12/07/2004","25/05/2010","386"
"E0051174","N0077071","12/07/2004","25/05/2010","386"
"E0056621","N0077072","12/07/2004","25/05/2010","386"
"E0057619","N0077073","12/07/2004","25/05/2010","386"
"N0077763","N0077764","23/11/2005","25/05/2010","386"
"E0025013","N0077965","31/05/2006","25/05/2010","386"
"N0071722","N0078142","26/02/2007","25/05/2010","386"
"E0024691","N0078154","09/03/2007","25/05/2010","386"
"E0057900","N0078146","03/03/2007","25/05/2010","386"
"N0072566","N0078076","01/11/2006","25/05/2010","386"
"E0026317","N0078150","15/01/2008","25/05/2010","386"
"E0026836","N0078157","15/01/2008","25/05/2010","386"
"N0066980","ES002804","13/03/2009","25/05/2010","386"
"N0076221","ES002350","24/09/2003","25/05/2010","386"
"ES002817","N0071841","25/02/2003","25/05/2010","386"
"N0067177","N0071933","25/02/2003","25/05/2010","386"
"ES000955","N0072130","25/02/2003","25/05/2010","386"
"ES000051","N0070087","08/07/2002","25/05/2010","386"
"ES000226","N0070088","08/07/2002","25/05/2010","386"
"ES000304","N0070089","08/07/2002","25/05/2010","386"
"ES000767","N0070090","08/07/2002","25/05/2010","386"
"N0068407","N0070091","05/07/2002","25/05/2010","386"
"N0068409","N0070092","05/07/2002","25/05/2010","386"
"N0068412","N0070093","05/07/2002","25/05/2010","386"
"N0068417","N0070094","05/07/2002","25/05/2010","386"
"N0068418","N0070095","05/07/2002","25/05/2010","386"
"N0068428","N0070096","05/07/2002","25/05/2010","386"
"N0068432","N0070097","05/07/2002","25/05/2010","386"
"N0068435","N0070099","05/07/2002","25/05/2010","386"
"N0068451","N0070100","05/07/2002","25/05/2010","386"
"ES002248","N0070101","08/07/2002","25/05/2010","386"
"N0068480","N0070102","05/07/2002","25/05/2010","386"
"N0068557","N0070104","05/07/2002","25/05/2010","386"
"N0068503","N0070105","05/07/2002","25/05/2010","386"
"N0068504","N0070106","05/07/2002","25/05/2010","386"
"ES002952","N0070107","08/07/2002","25/05/2010","386"
"N0068516","N0070108","05/07/2002","25/05/2010","386"
"ES003059","N0070109","08/07/2002","25/05/2010","386"
"N0068517","N0070110","05/07/2002","25/05/2010","386"
"ES003247","N0070111","08/07/2002","25/05/2010","386"
"N0068523","N0070112","05/07/2002","25/05/2010","386"
"N0068528","N0070113","05/07/2002","25/05/2010","386"
"ES003293","N0070114","08/07/2002","25/05/2010","386"
"N0068526","N0070115","05/07/2002","25/05/2010","386"
"N0068529","N0070116","05/07/2002","25/05/2010","386"
"ES003610","N0070117","08/07/2002","25/05/2010","386"
"N0068551","N0070118","05/07/2002","25/05/2010","386"
"ES003723","N0070119","08/07/2002","25/05/2010","386"
"E0053943","N0071075","19/09/2002","25/05/2010","386"
"N0071725","N0060774","27/12/2002","25/05/2010","386"
"E0035468","E0053957","19/09/2002","25/05/2010","386"
"E0035438","N0071081","19/09/2002","25/05/2010","386"
"E0053956","N0071082","19/09/2002","25/05/2010","386"
"E0035440","N0071084","19/09/2002","25/05/2010","386"
"E0035486","N0071085","19/09/2002","25/05/2010","386"
"E0053952","N0071086","19/09/2002","25/05/2010","386"
"E0035754","E0035696","29/05/2009","25/05/2010","386"
"E0053973","N0078552","02/06/2009","25/05/2010","386"
"E0035679","N0078557","04/06/2009","25/05/2010","386"
"E0035680","N0078558","04/06/2009","25/05/2010","386"
