"Group ID","Name","Easting","Northing","Date of Last Change","Date of Issue","Issue Version"
"G122","Stockport",389260,389871,"09/07/2009 15:36:30","25/05/2010","386"
"G123","Stoke-On-Trent",388000,345700,"15/08/2003 13:20:00","25/05/2010","386"
"G124","Sunderland",439700,557000,"15/08/2003 13:20:00","25/05/2010","386"
"G125","Swansea",265700,193600,"05/02/2007 08:41:53","25/05/2010","386"
"G126","Swindon",414900,185200,"15/08/2003 13:20:00","25/05/2010","386"
"G127","Taunton",322800,125500,"23/02/2007 07:52:35","25/05/2010","386"
"G128","Telford",370300,309100,"23/02/2007 07:52:35","25/05/2010","386"
"G129","Torquay",290500,63500,"05/02/2007 08:41:53","25/05/2010","386"
"G13","Falkirk",288500,679700,"05/02/2007 08:41:53","25/05/2010","386"
"G130","Warwick",428600,265500,"23/02/2007 07:52:35","25/05/2010","386"
"G131","Weymouth",367900,79600,"05/02/2007 08:41:53","25/05/2010","386"
"G132","Winchester",448002,129528,"13/08/2007 17:48:13","25/05/2010","386"
"G133","Wolverhampton",392000,298900,"05/02/2007 08:41:53","25/05/2010","386"
"G134","York",459600,451700,"15/08/2003 13:20:00","25/05/2010","386"
"G135","Accrington",375948,428595,"20/04/2009 16:17:47","25/05/2010","386"
"G136","Ashford (Kent)",601200,142900,"05/02/2007 08:41:53","25/05/2010","386"
"G137","Aviemore",289550,812300,"05/02/2007 08:41:53","25/05/2010","386"
"G138","Aberystwyth",258470,281600,"25/09/2008 17:47:17","25/05/2010","386"
"G14","Farnborough",487250,156300,"21/05/2007 14:54:52","25/05/2010","386"
"G142","Bognor Regis",493500,99295,"10/07/2009 15:51:11","25/05/2010","386"
"G143","Bridlington",518805,467172,"05/02/2007 08:41:53","25/05/2010","386"
"G146","Chester le Street",427356,551630,"21/05/2007 14:54:52","25/05/2010","386"
"G147","Chippenham",391950,173380,"26/11/2007 15:34:18","25/05/2010","386"
"G148","Cirencester",402811,202010,"05/02/2007 08:41:53","25/05/2010","386"
"G149","Cliftonville",637243,170733,"05/02/2007 08:41:53","25/05/2010","386"
"G15","Folkestone",622000,136300,"14/08/2003 16:42:00","25/05/2010","386"
"G155","Felixstowe",629616,234094,"05/02/2007 08:41:53","25/05/2010","386"
"G157","Frinton on Sea",623585,220451,"05/02/2007 08:41:53","25/05/2010","386"
"G158","Great Yarmouth",652389,307835,"07/09/2009 16:56:36","25/05/2010","386"
"G159","Hastings",581772,109505,"28/04/2005 17:32:00","25/05/2010","386"
"G16","Gainsborough",481950,389150,"14/08/2003 16:42:00","25/05/2010","386"
"G160","Hatfield",522489,208511,"23/02/2007 07:52:35","25/05/2010","386"
"G161","Hitchin",519406,229742,"05/02/2007 08:41:53","25/05/2010","386"
"G162","Humber Bridge",502220,426017,"28/04/2005 17:32:00","25/05/2010","386"
"G165","Jaywick",615320,213884,"05/02/2007 08:41:53","25/05/2010","386"
"G17","Glasgow",258950,665450,"05/02/2007 08:41:53","25/05/2010","386"
"G170","Leigh-on-Sea",584642,186548,"28/04/2005 17:32:00","25/05/2010","386"
"G175","Newmarket",564290,263313,"23/02/2007 07:52:35","25/05/2010","386"
"G176","Newquay",181414,61680,"24/09/2007 16:28:51","25/05/2010","386"
"G179","Paignton",288912,60599,"22/10/2009 15:54:33","25/05/2010","386"
"G18","Helensburgh",229750,682900,"05/02/2007 08:41:53","25/05/2010","386"
"G180","Peacehaven",540885,101009,"05/02/2007 08:41:53","25/05/2010","386"
"G181","Pembroke",198231,201554,"05/02/2007 08:41:53","25/05/2010","386"
"G184","Porthmadog",256688,338906,"05/02/2007 08:41:53","25/05/2010","386"
"G185","Prestatyn",306449,382902,"05/02/2007 08:41:53","25/05/2010","386"
"G186","Pwllheli",237425,334956,"05/02/2007 08:41:53","25/05/2010","386"
"G187","Ramsgate",638363,164781,"05/02/2007 08:41:53","25/05/2010","386"
"G188","Rhyl",303348,382393,"05/02/2007 08:41:53","25/05/2010","386"
"G19","Hertford",532300,212900,"05/02/2007 08:41:53","25/05/2010","386"
"G190","Skegness",557135,366945,"05/02/2007 08:41:53","25/05/2010","386"
"G191","Solihull",415385,279682,"05/02/2007 08:41:53","25/05/2010","386"
"G192","St Blazey",206850,54682,"05/02/2007 08:41:53","25/05/2010","386"
"G193","St Neots",518595,259190,"05/02/2007 08:41:53","25/05/2010","386"
"G194","St Osyth",612308,215687,"05/02/2007 08:41:53","25/05/2010","386"
"G197","Trowbridge",385624,157908,"28/04/2005 17:32:00","25/05/2010","386"
"G198","Weston-Super-Mare",332420,161030,"09/07/2009 15:37:53","25/05/2010","386"
"G199","Westward Ho!",243053,129069,"05/02/2007 08:41:53","25/05/2010","386"
"G2","Bedford",504200,249800,"14/08/2003 16:42:00","25/05/2010","386"
"G20","Liverpool",335050,390350,"05/02/2007 08:41:53","25/05/2010","386"
"G201","Wilton",409522,131312,"28/04/2005 17:32:00","25/05/2010","386"
"G202","Worthing",514603,104396,"05/02/2007 08:41:53","25/05/2010","386"
"G203","Aberdare",300495,202620,"05/02/2007 08:41:53","25/05/2010","386"
"G204","Abergavenny",330190,213780,"05/02/2007 08:41:53","25/05/2010","386"
"G205","Acle",640130,310320,"23/02/2007 07:52:35","25/05/2010","386"
"G206","Airdrie",276235,665250,"05/02/2007 08:41:53","25/05/2010","386"
"G207","Aldershot",486610,150440,"05/02/2007 08:41:53","25/05/2010","386"
"G208","Alness",265930,869530,"05/02/2007 08:41:53","25/05/2010","386"
"G209","Alton",472230,139690,"23/02/2007 07:52:35","25/05/2010","386"
"G21","Manchester",384450,398400,"15/01/2007 15:12:26","25/05/2010","386"
"G210","Altrincham",377027,387927,"16/03/2009 12:23:03","25/05/2010","386"
"G211","Andover",436080,145840,"05/02/2007 08:41:53","25/05/2010","386"
"G212","Annan",319350,566390,"05/02/2007 08:41:53","25/05/2010","386"
"G213","Anniesland",254790,668740,"05/02/2007 08:41:53","25/05/2010","386"
"G214","Ansdell and Fairhaven",334530,427470,"05/02/2007 08:41:53","25/05/2010","386"
"G215","Arbroath",363973,740889,"05/02/2007 08:41:53","25/05/2010","386"
"G216","Ardlui",231740,715640,"05/02/2007 08:41:53","25/05/2010","386"
"G217","Arrochar",230380,704210,"05/02/2007 08:41:53","25/05/2010","386"
"G218","Bolton",371890,409010,"23/02/2007 07:52:35","25/05/2010","386"
"G219","Ashton-under-Lyne",393800,399360,"05/02/2007 08:41:53","25/05/2010","386"
"G22","Newark",480050,354450,"23/02/2007 07:52:35","25/05/2010","386"
"G220","Aspatria",314390,541610,"23/02/2007 07:52:35","25/05/2010","386"
"G221","Atherstone",430610,297790,"23/02/2007 07:52:35","25/05/2010","386"
"G222","Attleborough",604975,295260,"23/02/2007 07:52:35","25/05/2010","386"
"G223","Ayr",233720,621560,"05/02/2007 08:41:53","25/05/2010","386"
"G224","Balloch",238620,681580,"02/06/2006 16:42:36","25/05/2010","386"
"G225","Banbury",445980,240570,"05/02/2007 08:41:53","25/05/2010","386"
"G226","Bangor ",257860,372020,"05/02/2007 08:41:53","25/05/2010","386"
