"Exchange Point ID","Tiploc Code","CRS Code","Station Name","Easting","Northing","Date of Issue","Issue Version","NaPTAN","Group ID"
"R0000333","BNTFORD","BFD","Brentford Rail Station",517460,177865,"25/05/2010","386","9100BNTFORD",
"R0000334","BRTWOOD","BRE","Brentwood Rail Station",559354,193040,"25/05/2010","386","9100BRTWOOD","G249"
"R0000335","BCWD","BWO","Bricket Wood Rail Station",513482,202017,"25/05/2010","386","9100BCWD",
"R0000336","BGOALAN","BEA","Bridge of Allan Rail Station",278530,697720,"25/05/2010","386","9100BGOALAN","G250"
"R0000337","BOORCHY","BRO","Bridge of Orchy Rail Station",230100,739400,"25/05/2010","386","9100BOORCHY","G251"
"R0000338","BRGEND","BGN","Bridgend Rail Station",290769,179848,"25/05/2010","386","9100BRGEND","G252"
"R0000339","BRIDGTN","BDG","Bridgeton Rail Station",260730,663990,"25/05/2010","386","9100BRIDGTN",
"R0000340","BRDGWTR","BWT","Bridgwater Rail Station",330800,137000,"25/05/2010","386","9100BRDGWTR","G253"
"R0000341","BRDLNGT","BDT","Bridlington Rail Station",517930,466857,"25/05/2010","386","9100BRDLNGT","G143"
"R0000342","BRIERFL","BRF","Brierfield Rail Station",384500,436500,"25/05/2010","386","9100BRIERFL","G254"
"R0000343","BRGG","BGG","Brigg Rail Station",500400,406900,"25/05/2010","386","9100BRGG",
"R0000344","BRGHTN","BTN","Brighton Rail Station",531003,104923,"25/05/2010","386","9100BRGHTN","G49"
"R0000345","BRIMSDN","BMD","Brimsdown Rail Station",536315,197035,"25/05/2010","386","9100BRIMSDN",
"R0000346","BRNGTN","BNT","Brinnington Rail Station",391120,392823,"25/05/2010","386","9100BRNGTN",
"R0000347","BRSTPWY","BPW","Bristol Parkway Rail Station",362474,179570,"25/05/2010","386","9100BRSTPWY",
"R0000348","BRSTLTM","BRI","Bristol Temple Meads Rail Station",359700,172400,"25/05/2010","386","9100BRSTLTM","G50"
"R0000349","BRITHDR","BHD","Brithdir Rail Station",315200,202000,"25/05/2010","386","9100BRITHDR",
"R0000350","REDCBSC","RBS","British Steel Redcar Rail Station",457410,524220,"25/05/2010","386","9100REDCBSC",
"R0000351","BRITFRY","BNF","Briton Ferry Rail Station",274200,194800,"25/05/2010","386","9100BRITFRY","G257"
"R0000352","BRIXTON","BRX","Brixton Rail Station",531100,175500,"25/05/2010","386","9100BRIXTON",
"R0000353","BROADGR","BGE","Broad Green Rail Station",340699,390337,"25/05/2010","386","9100BROADGR",
"R0000354","BRBM","BDB","Broadbottom Rail Station",399000,393800,"25/05/2010","386","9100BRBM",
"R0000356","BRSR","BSR","Broadstairs Rail Station",639131,167997,"25/05/2010","386","9100BRSR","G258"
"R0000357","BKNHRST","BCU","Brockenhurst Rail Station",430140,102008,"25/05/2010","386","9100BKNHRST","G259"
"R0000358","BKHLS","BHS","Brockholes Rail Station",415300,411200,"25/05/2010","386","9100BKHLS",
"R0000359","BROCKLY","BCY","Brockley Rail Station",536420,175790,"25/05/2010","386","9100BROCKLY",
"R0000360","BRWHINS","BNR","Brockley Whins Rail Station",434590,562900,"25/05/2010","386","9100BRWHINS",
"R0000362","BRMB","BOM","Bromborough Rail Station",334359,381001,"25/05/2010","386","9100BRMB","G260"
"R0000363","BRMBRK","BMR","Bromborough Rake Rail Station",334200,381900,"25/05/2010","386","9100BRMBRK",
"R0000364","BRMCRSS","BMC","Bromley Cross Rail Station",372914,413133,"25/05/2010","386","9100BRMCRSS",
"R0000365","BROMLYN","BMN","Bromley North Rail Station",540380,169630,"25/05/2010","386","9100BROMLYN",
"R0000366","BROMLYS","BMS","Bromley South Rail Station",540430,168702,"25/05/2010","386","9100BROMLYS",
"R0000367","BRMSGRV","BMV","Bromsgrove Rail Station",396800,269400,"25/05/2010","386","9100BRMSGRV",
"R0000368","BRBY","BSY","Brondesbury Rail Station",524755,184450,"25/05/2010","386","9100BRBY",
"R0000369","BRBYPK","BSP","Brondesbury Park Rail Station",524225,183940,"25/05/2010","386","9100BRBYPK",
"R0000370","BRKMNPK","BPK","Brookmans Park Rail Station",524119,204007,"25/05/2010","386","9100BRKMNPK",
"R0000371","BRKWOOD","BKO","Brookwood Rail Station",495200,156954,"25/05/2010","386","9100BRKWOOD",
"R0000372","BROOME","BME","Broome Rail Station",339900,280900,"25/05/2010","386","9100BROOME",
"R0000373","BRFT","BMF","Broomfleet Rail Station",487600,427900,"25/05/2010","386","9100BRFT",
"R0000374","BRORA","BRA","Brora Rail Station",290657,904141,"25/05/2010","386","9100BRORA","G261"
"R0000375","BROUGH","BUH","Brough Rail Station",493822,426584,"25/05/2010","386","9100BROUGH",
"R0000376","BRFRY","BYF","Broughty Ferry Rail Station",346300,730900,"25/05/2010","386","9100BRFRY",
"R0000377","BROXBRN","BXB","Broxbourne Rail Station",537403,207228,"25/05/2010","386","9100BROXBRN",
"R0000378","BRUCGRV","BCV","Bruce Grove Rail Station",533800,190000,"25/05/2010","386","9100BRUCGRV",
"R0000379","BRUNDAL","BDA","Brundall Rail Station",632904,307967,"25/05/2010","386","9100BRUNDAL",
"R0000380","BRUNDLG","BGA","Brundall Gardens Rail Station",631470,308340,"25/05/2010","386","9100BRUNDLG",
"R0000381","BNWK","BRW","Brunswick Rail Station",335173,387821,"25/05/2010","386","9100BNWK",
"R0000382","BRUTON","BRU","Bruton Rail Station",368800,134800,"25/05/2010","386","9100BRUTON",
"R0000383","BRYN","BYN","Bryn Rail Station",357165,400547,"25/05/2010","386","9100BRYN",
"R0000384","BUCKNHM","BUC","Buckenham Rail Station",635120,305650,"25/05/2010","386","9100BUCKNHM",
"R0000385","BCKY","BCK","Buckley Rail Station",329500,363400,"25/05/2010","386","9100BCKY",
"R0000386","BKNELL","BUK","Bucknell Rail Station",335500,273700,"25/05/2010","386","9100BKNELL",
"R0000387","BUGLE","BGL","Bugle Rail Station",201690,59290,"25/05/2010","386","9100BUGLE",
"R0000388","BUILTHR","BHR","Builth Road Rail Station",302500,253300,"25/05/2010","386","9100BUILTHR",
"R0000389","BULWELL","BLW","Bulwell Rail Station",454040,345010,"25/05/2010","386","9100BULWELL",
"R0000390","BURES","BUE","Bures Rail Station",590300,233900,"25/05/2010","386","9100BURES",
"R0000391","BURGESH","BUG","Burgess Hill Rail Station",531600,118800,"25/05/2010","386","9100BURGESH",
"R0000392","BRLEYPK","BUY","Burley Park Rail Station",427890,435180,"25/05/2010","386","9100BRLEYPK",
"R0000393","BURLYIW","BUW","Burley-in-Wharfedale Rail Station",416290,445830,"25/05/2010","386","9100BURLYIW",
"R0000394","BAGE","BNA","Burnage Rail Station",385764,391618,"25/05/2010","386","9100BAGE",
"R0000395","BNSD","BUD","Burneside (Cumbria) Rail Station",350300,495800,"25/05/2010","386","9100BNSD",
"R0000396","BNHAM","BNM","Burnham (Berks) Rail Station",494008,181378,"25/05/2010","386","9100BNHAM",
"R0000397","BRNMONC","BUU","Burnham-on-Crouch Rail Station",594842,196511,"25/05/2010","386","9100BRNMONC",
