"NaPTAN","Name","Easting","Northing","Date of Issue","Issue Version","Group ID"
"9300RMG","Ramsgate Ferry Terminal",637950,164215,"22/01/2013","1058",
"9300RMY","Ramsey Island Ferry Landing",170627,223703,"22/01/2013","1058",
"9300ROA","Roa Island Ferry Landing",323268,464807,"22/01/2013","1058",
"9300ROU","Rousay Orkney Ferry Terminal",343655,1027475,"22/01/2013","1058",
"9300ROW","Rowardennan Pier",235878,698661,"22/01/2013","1058",
"9300ROY","Rosyth Ferry Terminal",310397,682087,"22/01/2013","1058",
"9300RSH","Richmond St. Helena Pier",517621,174650,"22/01/2013","1058",
"9300RVM","Riverside Museum (Glasgow) Ferry Landing",255784,665931,"22/01/2013","1058",
"9300RYD","Ryde Pier Head Ferry Terminal",459328,93645,"22/01/2013","1058",
"9300RYH","Ryde Hoverport",459499,92894,"22/01/2013","1058",
"9300SBK","Sunny Bank (Coniston) Ferry Landing",329222,492241,"22/01/2013","1058",
"9300SCG","Scoraig Ferry Landing",199994,896176,"22/01/2013","1058",
"9300SCO","Sconser Isle Of Skye Ferry Terminal",152593,832300,"22/01/2013","1058",
"9300SCR","Scrabster Ferry Terminal",310389,970300,"22/01/2013","1058",
"9300SCY","Scalloway Shetland Ferry Terminal",440310,1139110,"22/01/2013","1058",
"9300SDN","Shaldon Teignmouth Ferry Landing",293570,72240,"22/01/2013","1058",
"9300SEA","Seacombe Ferry Terminal",332540,390810,"22/01/2013","1058",
"9300SGW","St George Wharf Pier",530152,178033,"22/01/2013","1058",
"9300SHP","Shepperton Ferry Landing",507464,165978,"22/01/2013","1058",
"9300SHS","Sharpness Old Docks",366795,203055,"22/01/2013","1058",
"9300SHY","Shotley Point Marina Ferry Landing",625218,233837,"22/01/2013","1058",
"9300SKO","Skomer Island Ferry Landing",173486,209493,"22/01/2013","1058",
"9300SLC","Salcombe Ferry Landing",274133,38870,"22/01/2013","1058",
"9300SMH","St Margarets Hope Ferry Terminal",344578,994262,"22/01/2013","1058",
"9300SNS","Stromness Orkney Ferry Terminal",325605,1009330,"22/01/2013","1058",
"9300SOP","Southampton Passenger Ferry Terminal",441921,110714,"22/01/2013","1058",
"9300SOS","Southsea Hoverport",463545,98784,"22/01/2013","1058",
"9300SOV","Southampton Vehicle Ferry Terminal",441852,110859,"22/01/2013","1058",
"9300SPY","Shapinsay Orkney Ferry Terminal",347890,1016387,"22/01/2013","1058",
"9300SQF","South Queensferry Ferry Landing",313609,678580,"22/01/2013","1058",
"9300SSD","South Sands Ferry Landing",272825,37660,"22/01/2013","1058",
"9300SSH","South Shields Ferry Terminal",435920,567150,"22/01/2013","1058",
"9300STA","Starcross Ferry Landing",297860,81790,"22/01/2013","1058",
"9300STC","St Katharine's Pier",533780,180337,"22/01/2013","1058",
"9300STF","Staffa Ferry Landing",132610,735114,"22/01/2013","1058",
"9300STJ","St. Justinian Ferry Landing",172325,225092,"22/01/2013","1058",
"9300STO","Stornoway Lewis Ferry Terminal",142372,932546,"22/01/2013","1058",
"9300STR","Stranraer Ferry Terminal",206295,561178,"22/01/2013","1058",
"9300STY","Stronsay Orkney Ferry Terminal",365891,1028578,"22/01/2013","1058",
"9300SUM","Grutness Shetland Ferry Terminal",440497,1110136,"22/01/2013","1058",
"9300SVQ","Sovereign Quay Waterbus Stop",319036,174232,"22/01/2013","1058",
"9300SWA","Swansea Queens Dock Ferry Terminal",266710,192185,"22/01/2013","1058",
"9300SWD","Sandbanks Ferry Terminal",403720,87085,"22/01/2013","1058",
"9300SWK","Bankside Pier",532206,180546,"22/01/2013","1058",
"9300SWO","Southwold Ferry Landing",650080,275060,"22/01/2013","1058",
"9300SYM","Whalsay Shetland Ferry Terminal",453731,1162375,"22/01/2013","1058",
"9300SYP","Savoy Pier",530570,180552,"22/01/2013","1058",
"9300TAB","Tarbert (Harris) Ferry Terminal",115775,899810,"22/01/2013","1058",
"9300TAF","Taffs Mead Waterbus Stop",317964,175770,"22/01/2013","1058",
"9300TAR","Tarbet (Loch Lomond) Pier",232106,704423,"22/01/2013","1058",
"9300TAV","Tayvallich (Argyll & Bute) Ferry Terminal",174239,687259,"22/01/2013","1058",
"9300TBP","Torquay Harbour Boarding Pontoon",291825,63235,"22/01/2013","1058",
"9300TCK","Trelisick Ferry Landing",184035,39595,"22/01/2013","1058",
"9300TCO","Tresco Isles Of Scilly Ferry Landing",89296,13379,"22/01/2013","1058",
"9300TEN","Tenby Ferry Landing",213548,200622,"22/01/2013","1058",
"9300TFL","Turf Lock Inn Ferry Landing",296480,85870,"22/01/2013","1058",
"9300THM","Topsham Ferry Landing",296395,88125,"22/01/2013","1058",
"9300THP","Twickenham Hammertons Pier",517175,173350,"22/01/2013","1058",
"9300TIG","Tighnabruaich Pier Ferry Terminal",198584,673301,"22/01/2013","1058",
"9300TIL","Tilbury Ferry Terminal",564504,175069,"22/01/2013","1058",
"9300TKN","Tower Knowe Ferry Landing",369836,586961,"22/01/2013","1058",
"9300TLI","Topsham Lock Ferry Landing",296256,87972,"22/01/2013","1058",
"9300TLN","Tarbet (Loch Nevis) Ferry Landing",179082,792512,"22/01/2013","1058",
"9300TMP","Tower Millennium Pier",533408,180513,"22/01/2013","1058",
"9300TNM","Teignmouth Ferry Landing",293885,72425,"22/01/2013","1058",
"9300TOB","Tobermory Mull Ferry Terminal",150845,755327,"22/01/2013","1058",
"9300TOF","Toft Shetland Ferry Terminal",443712,1176169,"22/01/2013","1058",
"9300TOL","Tolverne Ferry Landing",184552,40218,"22/01/2013","1058",
"9300TOR","Torquay - North Quay",291736,63369,"22/01/2013","1058",
"9300TOT","Totnes Ferry Landing",280644,60012,"22/01/2013","1058",
"9300TPT","Torpoint Ferry Terminal",244163,55135,"22/01/2013","1058",
"9300TRE","Tiree Ferry Terminal",104867,745462,"22/01/2013","1058",
"9300TRN","Troon Ferry Terminal",230846,631647,"22/01/2013","1058",
"9300TSC","Tarbet (Scourie) Ferry Landing",216357,948842,"22/01/2013","1058",
"9300TTL","Topsham (Turf Lock Ferry) Ferry Landing",296535,87935,"22/01/2013","1058",
"9300TUK","Tuckton Tea Gardens Ferry Landing",414895,92249,"22/01/2013","1058",
"9300TVR","Torver (Coniston) Ferry Landing",330175,495126,"22/01/2013","1058",
"9300TWL","Tingwall Orkney Ferry Terminal",340305,1022885,"22/01/2013","1058",
"9300TYL","Tayinloan Ferry Terminal",169295,646555,"22/01/2013","1058",
"9300UFU","Ulva Ferry (Ulva) Ferry Landing",144372,739777,"22/01/2013","1058",
"9300UIG","Uig Skye Ferry Terminal",138535,863585,"22/01/2013","1058",
"9300ULL","Ullapool Ferry Terminal",212777,893880,"22/01/2013","1058",
"9300ULS","Ulsta Shetland Ferry Terminal",446328,1179456,"22/01/2013","1058",
"9300ULV","Ulva Ferry (Mull) Ferry Landing",144590,739896,"22/01/2013","1058",
"9300VID","Vidlin Shetland Ferry Terminal",448115,1165742,"22/01/2013","1058",
"9300WAL","Wallasea Island Ferry Landing",593582,195281,"22/01/2013","1058",
"9300WAR","Warsash Ferry Landing",448842,106412,"22/01/2013","1058",
"9300WAS","Woolwich Arsenal Pier",543833,179390,"22/01/2013","1058",
"9300WAT","Waterhead Hotel (Coniston) Ferry Landing",331144,497389,"22/01/2013","1058",
"9300WBU","West Burrafirth Shetland Ferry Terminal",425535,1156909,"22/01/2013","1058",
"9300WEY","Weymouth Ferry Terminal",368360,78827,"22/01/2013","1058",
"9300WIC","Wick Christchurch Ferry Landing",415570,92186,"22/01/2013","1058",
"9300WLB","Walberswick Ferry Landing",650068,274970,"22/01/2013","1058",
"9300WLN","West Lynn Ferry Landing",561323,320309,"22/01/2013","1058",
"9300WLS","Walls Shetland Ferry Terminal",424011,1148907,"22/01/2013","1058",
"9300WMB","Wemyss Bay Ferry Terminal",219250,668510,"22/01/2013","1058",
"9300WMP","London Eye Millennium Pier",530620,179973,"22/01/2013","1058",
"9300WMR","Westminster Millennium Pier",530327,179738,"22/01/2013","1058",
"9300WOO","Woodside Birkenhead Ferry Terminal",332937,389150,"22/01/2013","1058",
"9300WPK","Water Park (Coniston) Ferry Landing",329350,490442,"22/01/2013","1058",
"9300WPT","Warren Point Ferry Landing",253775,47755,"22/01/2013","1058",
"9300WRQ","Wandsworth Riverside Quarter Pier",525209,175293,"22/01/2013","1058",
"9300WSM","Weston-super-Mare Knightstone Harbour",331220,161780,"22/01/2013","1058",
"9300WWC","Woolwich Ferry North Pier",543145,179660,"22/01/2013","1058",
"9300WWS","Woolwich Ferry South Pier",543244,179374,"22/01/2013","1058",
"9300WYB","Weybridge Ferry Landing",507504,165872,"22/01/2013","1058",
"9300WYR","Wyre Orkney Ferry Terminal",344430,1026850,"22/01/2013","1058",
"9300YMO","Yarmouth IOW Ferry Terminal",435368,89752,"22/01/2013","1058",
"9300YOK","Yoker Ferry Terminal",251167,668559,"22/01/2013","1058",
"9300YVZ","Plymouth Stonehouse Ferry Terminal",246160,53985,"22/01/2013","1058",
