"NaPTAN","Name","Easting","Northing","Date of Issue","Issue Version","Group ID"
"9300CAW","Canary Wharf Pier",536926,180371,"22/01/2013","1058",
"9300CBA","Castlebay Barra Ferry Terminal",66484,798144,"22/01/2013","1058",
"9300CDF","Cardiff - Britannia Quay",319465,174390,"22/01/2013","1058",
"9300CDI","Caldey Island Ferry Landing",213692,196928,"22/01/2013","1058",
"9300CHH","Mudeford Quay Ferry Landing",418308,91611,"22/01/2013","1058",
"9300CHP","Chelsea Harbour Pier",526475,176590,"22/01/2013","1058",
"9300CJU","Craighouse (Jura) Ferry Terminal",152760,667143,"22/01/2013","1058",
"9300CLA","Clarence Embankment Waterbus Stop",318572,174569,"22/01/2013","1058",
"9300CLB","Claonaig Ferry Terminal",187487,656055,"22/01/2013","1058",
"9300CLV","Clevedon Pier",339960,171995,"22/01/2013","1058",
"9300CNU","Craignure Mull Ferry Terminal",171817,737118,"22/01/2013","1058",
"9300COC","Cockleridge Ham Ferry Landing",266578,44035,"22/01/2013","1058",
"9300COF","East Cowes Floating Bridge",450141,95545,"22/01/2013","1058",
"9300COH","West Cowes Ferry Terminal ",449700,96105,"22/01/2013","1058",
"9300COL","Coll Ferry Terminal",122535,756180,"22/01/2013","1058",
"9300COM","West Cowes Floating Bridge",450005,95623,"22/01/2013","1058",
"9300CON","Coniston Ferry Landing",330810,497000,"22/01/2013","1058",
"9300COT","Colintraive Ferry Terminal",203110,674522,"22/01/2013","1058",
"9300COW","East Cowes Ferry Terminal",450174,95742,"22/01/2013","1058",
"9300CPB","Campbeltown Ferry Terminal",172329,620353,"22/01/2013","1058",
"9300CQU","Christchurch Quay Ferry Landing",415548,92292,"22/01/2013","1058",
"9300CRE","Cremyll Mount Edgcumbe Ferry Landing",245410,53445,"22/01/2013","1058",
"9300CRN","Cromarty Ferry Terminal",278590,867703,"22/01/2013","1058",
"9300CRR","Nether Lochaber Ferry Terminal",202118,763547,"22/01/2013","1058",
"9300CSY","Colonsay Ferry Terminal",139432,694108,"22/01/2013","1058",
"9300CUM","Cumbrae Ferry Terminal",218370,658625,"22/01/2013","1058",
"9300CUN","North Cuan Seil Ferry Terminal",175360,714285,"22/01/2013","1058",
"9300CUS","Custom House Quay",181166,32577,"22/01/2013","1058",
"9300CVW","Channel View Waterbus Stop",318163,174359,"22/01/2013","1058",
"9300CWR","Cape Wrath Ferry Landing",237112,966043,"22/01/2013","1058",
"9300CYN","Cairnryan Ferry Terminal",207105,567621,"22/01/2013","1058",
"9300DIT","Dittisham Ferry Landing",286665,54815,"22/01/2013","1058",
"9300DNE","Dartmouth North Embankment Ferry Terminal",287915,51340,"22/01/2013","1058",
"9300DNU","Dunoon Ferry Terminal",217675,676459,"22/01/2013","1058",
"9300DNV","Dartmouth Naval College Ferry Terminal",287945,51945,"22/01/2013","1058",
"9300DRM","Drimnin Ferry Landing",155598,753925,"22/01/2013","1058",
"9300DTI","Ditton Island Ferry Landing",516204,167296,"22/01/2013","1058",
"9300DTM","Dartmouth South Embankment Ferry Terminal",287857,51070,"22/01/2013","1058",
"9300DUR","Durness Keoldale Ferry Landing",237745,966131,"22/01/2013","1058",
"9300DVE","Dover Eastern Docks Ferry Terminal",632905,141592,"22/01/2013","1058",
"9300DVP","Devonport Ferry Terminal",244797,55198,"22/01/2013","1058",
"9300DVW","Dover Western Docks Ferry Terminal",632115,140525,"22/01/2013","1058",
"9300EAI","Easdale Seil Ferry Landing",174138,717233,"22/01/2013","1058",
"9300EAS","Easdale Island Ferry Landing",173952,717178,"22/01/2013","1058",
"9300EDY","Eday Orkney Ferry Terminal",357354,1030102,"22/01/2013","1058",
"9300EGI","Egilsay Orkney Ferry Terminal",346183,1030272,"22/01/2013","1058",
"9300EIB","East India Pier",538716,180582,"22/01/2013","1058",
"9300EMB","Embankment Pier",530471,180390,"22/01/2013","1058",
"9300ERI","Eriskay South Uist Ferry Terminal",78427,810289,"22/01/2013","1058",
"9300EXM","Exmouth Ferry Landing",299355,80680,"22/01/2013","1058",
"9300FAG","Fort Augustus Ferry Landing",237937,809254,"22/01/2013","1058",
"9300FAI","Fairlie Ferry Terminal",219694,654358,"22/01/2013","1058",
"9300FAL","Falmouth Prince of Wales Pier Ferry Landing",180800,33000,"22/01/2013","1058",
"9300FCQ","Fowey Custom House Quay Ferry Landing",212690,52280,"22/01/2013","1058",
"9300FEL","Fell Foot Country Park Ferry Landing",338101,487224,"22/01/2013","1058",
"9300FEO","Feolin Jura Ferry Terminal",144040,669100,"22/01/2013","1058",
"9300FES","Festival Pier",530763,180320,"22/01/2013","1058",
"9300FET","Folkestone Eurotunnel Terminal",618440,137662,"22/01/2013","1058",
"9300FIB","Fishnish Ferry Terminal",165685,742360,"22/01/2013","1058",
