"Group ID","Name","Easting","Northing","Date of Last Change","Date of Issue","Issue Version"
"G107","Perth",311320,723160,"05/02/2007 08:41:53","22/01/2013","1058"
"G108","Peterborough",518700,298900,"05/02/2007 08:41:53","22/01/2013","1058"
"G109","Plymouth",247700,55300,"05/02/2007 08:41:53","22/01/2013","1058"
"G11","Edenbridge",544250,147050,"05/02/2007 08:41:53","22/01/2013","1058"
"G110","Preston",353400,429000,"23/02/2007 07:52:35","22/01/2013","1058"
"G111","Rugby",451200,275900,"05/02/2007 08:41:53","22/01/2013","1058"
"G112","Salisbury",413662,130153,"13/04/2011 16:09:50","22/01/2013","1058"
"G113","Scarborough",503900,488300,"05/02/2007 08:41:53","22/01/2013","1058"
"G114","Scunthorpe",489400,410800,"05/02/2007 08:41:53","22/01/2013","1058"
"G115","Sheffield",435800,387000,"23/02/2007 07:52:35","22/01/2013","1058"
"G116","Shrewsbury",349425,312915,"05/10/2009 17:08:35","22/01/2013","1058"
"G117","Southampton",441300,112200,"05/02/2007 08:41:53","22/01/2013","1058"
"G119","Stafford",391800,323000,"05/02/2007 08:41:53","22/01/2013","1058"
"G12","Enfield",532600,196550,"23/02/2007 07:52:35","22/01/2013","1058"
"G120","Stansted Airport",555682,223530,"21/10/2010 14:10:05","22/01/2013","1058"
"G121","Stirling",279800,693500,"05/02/2007 08:41:53","22/01/2013","1058"
"G122","Stockport",389260,389871,"09/07/2009 15:36:30","22/01/2013","1058"
"G123","Stoke-On-Trent",388000,345700,"15/08/2003 13:20:00","22/01/2013","1058"
"G124","Sunderland",439700,557000,"15/08/2003 13:20:00","22/01/2013","1058"
"G125","Swansea",265700,193600,"05/02/2007 08:41:53","22/01/2013","1058"
"G126","Swindon",414900,185200,"15/08/2003 13:20:00","22/01/2013","1058"
"G127","Taunton",322800,125500,"23/02/2007 07:52:35","22/01/2013","1058"
"G128","Telford",370300,309100,"23/02/2007 07:52:35","22/01/2013","1058"
"G129","Torquay",290500,63500,"05/02/2007 08:41:53","22/01/2013","1058"
"G13","Falkirk",288500,679700,"05/02/2007 08:41:53","22/01/2013","1058"
"G130","Warwick",428600,265500,"23/02/2007 07:52:35","22/01/2013","1058"
"G131","Weymouth",367900,79600,"05/02/2007 08:41:53","22/01/2013","1058"
"G132","Winchester",448002,129528,"13/08/2007 17:48:13","22/01/2013","1058"
"G133","Wolverhampton",392000,298900,"05/02/2007 08:41:53","22/01/2013","1058"
"G134","York",459600,451700,"15/08/2003 13:20:00","22/01/2013","1058"
"G135","Accrington",375948,428595,"20/04/2009 16:17:47","22/01/2013","1058"
"G136","Ashford (Kent)",601200,142900,"05/02/2007 08:41:53","22/01/2013","1058"
"G137","Aviemore",289550,812300,"05/02/2007 08:41:53","22/01/2013","1058"
"G138","Aberystwyth",258470,281600,"25/09/2008 17:47:17","22/01/2013","1058"
"G14","Farnborough",487250,156300,"21/05/2007 14:54:52","22/01/2013","1058"
"G142","Bognor Regis",493500,99295,"10/07/2009 15:51:11","22/01/2013","1058"
"G143","Bridlington",518805,467172,"05/02/2007 08:41:53","22/01/2013","1058"
"G146","Chester-le-Street",427356,551630,"25/05/2011 17:12:01","22/01/2013","1058"
"G147","Chippenham",391950,173380,"26/11/2007 15:34:18","22/01/2013","1058"
"G148","Cirencester",402811,202010,"05/02/2007 08:41:53","22/01/2013","1058"
"G149","Cliftonville",637243,170733,"05/02/2007 08:41:53","22/01/2013","1058"
"G15","Folkestone",622000,136300,"14/08/2003 16:42:00","22/01/2013","1058"
"G155","Felixstowe",629616,234094,"05/02/2007 08:41:53","22/01/2013","1058"
"G157","Frinton-on-Sea",623585,220451,"25/05/2011 17:12:01","22/01/2013","1058"
"G158","Great Yarmouth",652389,307835,"07/09/2009 16:56:36","22/01/2013","1058"
"G159","Hastings",581772,109505,"28/04/2005 17:32:00","22/01/2013","1058"
"G16","Gainsborough",481950,389150,"14/08/2003 16:42:00","22/01/2013","1058"
"G160","Hatfield",522489,208511,"23/02/2007 07:52:35","22/01/2013","1058"
"G161","Hitchin",519406,229742,"05/02/2007 08:41:53","22/01/2013","1058"
"G162","Humber Bridge",502220,426017,"28/04/2005 17:32:00","22/01/2013","1058"
"G165","Jaywick",615320,213884,"05/02/2007 08:41:53","22/01/2013","1058"
"G17","Glasgow",258950,665450,"05/02/2007 08:41:53","22/01/2013","1058"
"G170","Leigh-on-Sea",584642,186548,"28/04/2005 17:32:00","22/01/2013","1058"
"G175","Newmarket",564290,263313,"23/02/2007 07:52:35","22/01/2013","1058"
"G176","Newquay",181414,61680,"24/09/2007 16:28:51","22/01/2013","1058"
"G179","Paignton",288912,60599,"22/10/2009 15:54:33","22/01/2013","1058"
"G18","Helensburgh",229750,682900,"05/02/2007 08:41:53","22/01/2013","1058"
"G180","Peacehaven",540885,101009,"05/02/2007 08:41:53","22/01/2013","1058"
"G249","Brentwood",559330,193320,"23/02/2007 07:52:35","22/01/2013","1058"
"G25","Portsmouth",464200,100200,"14/08/2003 16:42:00","22/01/2013","1058"
"G250","Bridge of Allan",278880,697620,"05/02/2007 08:41:53","22/01/2013","1058"
"G251","Bridge of Orchy",229900,739620,"05/02/2007 08:41:53","22/01/2013","1058"
"G252","Bridgend",290570,180035,"02/06/2006 16:42:36","22/01/2013","1058"
"G253","Bridgwater",330490,137000,"05/02/2007 08:41:53","22/01/2013","1058"
"G254","Brierfield",384660,436300,"05/02/2007 08:41:53","22/01/2013","1058"
"G255","Brigg",500270,407090,"05/02/2007 08:41:53","22/01/2013","1058"
"G256","Brighouse",414660,422810,"05/02/2007 08:41:53","22/01/2013","1058"
"G257","Briton Ferry",274300,194560,"05/02/2007 08:41:53","22/01/2013","1058"
"G258","Broadstairs",639270,167900,"05/02/2007 08:41:53","22/01/2013","1058"
"G259","Brockenhurst",430280,102410,"05/02/2007 08:41:53","22/01/2013","1058"
"G26","Reading",471400,173800,"05/02/2007 08:41:53","22/01/2013","1058"
"G260","Bromborough",334760,382060,"05/02/2007 08:41:53","22/01/2013","1058"
"G261","Brora",290610,904050,"05/02/2007 08:41:53","22/01/2013","1058"
"G262","Bury St Edmunds",585170,264810,"05/02/2007 08:41:53","22/01/2013","1058"
"G263","Chepstow",353390,193760,"05/02/2007 08:41:53","22/01/2013","1058"
"G264","Buxton",406090,373720,"23/02/2007 07:52:35","22/01/2013","1058"
"G265","Caersws",302980,291900,"05/02/2007 08:41:53","22/01/2013","1058"
"G266","Camborne",164790,39855,"05/02/2007 08:41:53","22/01/2013","1058"
"G267","Camelon",286870,680660,"05/02/2007 08:41:53","22/01/2013","1058"
"G268","Cannock",398450,310260,"05/02/2007 08:41:53","22/01/2013","1058"
"G269","Carbis Bay",153050,38450,"05/02/2007 08:41:53","22/01/2013","1058"
"G27","Southend",588300,185800,"13/10/2010 15:29:36","22/01/2013","1058"
"G270","Carmarthen",241370,219900,"05/02/2007 08:41:53","22/01/2013","1058"
"G271","Carnforth",349780,470550,"05/02/2007 08:41:53","22/01/2013","1058"
"G272","Chirk",328800,337775,"05/02/2007 08:41:53","22/01/2013","1058"
"G273","Chorley",358630,417520,"23/02/2007 07:52:35","22/01/2013","1058"
"G274","Christchurch",415440,93283,"23/02/2007 07:52:35","22/01/2013","1058"
"G275","Clacton",617590,215270,"21/05/2007 14:54:52","22/01/2013","1058"
"G276","Cleethorpes",530580,408980,"05/02/2007 08:41:53","22/01/2013","1058"
"G277","Largs",220300,659310,"05/02/2007 08:41:53","22/01/2013","1058"
"G278","Blair Atholl",287080,765340,"05/02/2007 08:41:53","22/01/2013","1058"
"G279","Colne",388400,439920,"23/02/2007 07:52:35","22/01/2013","1058"
"G28","Thorne",468600,413050,"05/02/2007 08:41:53","22/01/2013","1058"
"G280","Colwyn Bay",284960,378950,"05/02/2007 08:41:53","22/01/2013","1058"
"G281","Conwy",278000,377550,"05/02/2007 08:41:53","22/01/2013","1058"
"G282","Cosham",465600,105250,"05/02/2007 08:41:53","22/01/2013","1058"
"G283","Cowdenbeath",316540,691615,"05/02/2007 08:41:53","22/01/2013","1058"
"G284","Crawley",527037,136373,"10/07/2009 15:51:58","22/01/2013","1058"
"G285","Crianlarich",238490,725370,"05/02/2007 08:41:53","22/01/2013","1058"
"G286","Criccieth",249830,338130,"05/02/2007 08:41:53","22/01/2013","1058"
"G287","Cromer",621570,342100,"02/06/2006 16:42:36","22/01/2013","1058"
"G288","Cumbernauld",276100,674340,"05/02/2007 08:41:53","22/01/2013","1058"
"G289","Cwmbran",329610,195700,"05/02/2007 08:41:53","22/01/2013","1058"
"G29","Tyndrum",233050,730150,"05/02/2007 08:41:53","22/01/2013","1058"
"G290","Dalmally",216200,727280,"05/02/2007 08:41:53","22/01/2013","1058"
"G291","Dalwhinnie",263630,784310,"05/02/2007 08:41:53","22/01/2013","1058"
"G292","Darwen",369360,422340,"05/02/2007 08:41:53","22/01/2013","1058"
"G293","Dawlish",296340,76620,"05/02/2007 08:41:53","22/01/2013","1058"
"G294","Deal",637630,152595,"05/02/2007 08:41:53","22/01/2013","1058"
"G295","Dewsbury",424390,421640,"05/02/2007 08:41:53","22/01/2013","1058"
"G296","Diss",612060,279510,"05/02/2007 08:41:53","22/01/2013","1058"
"G297","Dovercourt",624910,231370,"05/02/2007 08:41:53","22/01/2013","1058"
"G298","Driffield",502560,457520,"05/02/2007 08:41:53","22/01/2013","1058"
"G299","Droitwich Spa",389560,263290,"05/02/2007 08:41:53","22/01/2013","1058"
"G3","Birmingham",406950,287000,"05/02/2007 08:41:53","22/01/2013","1058"
"G30","Wakefield",433290,420540,"05/02/2007 08:41:53","22/01/2013","1058"
"G300","Drumchapel",251890,670920,"05/02/2007 08:41:53","22/01/2013","1058"
"G301","Dumbarton",240190,675720,"05/02/2007 08:41:53","22/01/2013","1058"
"G302","Dumfries",297240,576380,"05/02/2007 08:41:53","22/01/2013","1058"
"G303","Dunblane",278200,701040,"05/02/2007 08:41:53","22/01/2013","1058"
"G304","East Grinstead",539390,138360,"05/02/2007 08:41:53","22/01/2013","1058"
"G305","East Kilbride",263790,654380,"02/06/2006 16:42:36","22/01/2013","1058"
"G306","Eastleigh",445700,119155,"23/02/2007 07:52:35","22/01/2013","1058"
"G307","Ellesmere Port",340180,376310,"05/02/2007 08:41:53","22/01/2013","1058"
"G308","Eltham (London)",542690,174460,"05/02/2007 08:41:53","22/01/2013","1058"
"G309","Ely",554410,280150,"23/02/2007 07:52:35","22/01/2013","1058"
"G31","Warrington",360350,388150,"14/08/2003 16:42:00","22/01/2013","1058"
"G310","Evesham",403770,244230,"05/02/2007 08:41:53","22/01/2013","1058"
"G312","Alresford (Essex)",606474,221512,"11/05/2009 15:55:49","22/01/2013","1058"
"G313","Arundel",501283,106903,"09/02/2007 07:22:56","22/01/2013","1058"
"G314","Barnstaple",255857,132993,"09/02/2007 07:22:56","22/01/2013","1058"
"G315","Bentley (Hants)",478367,143927,"09/02/2007 07:22:56","22/01/2013","1058"
"G316","Bexhill",574131,107574,"09/02/2007 07:22:56","22/01/2013","1058"
"G317","Pembrey",244657,201036,"21/05/2007 14:54:52","22/01/2013","1058"
"G32","West Hampstead (London)",525400,184750,"05/02/2007 08:41:53","22/01/2013","1058"
"G320","Connel Ferry",191270,734341,"09/02/2007 07:22:56","22/01/2013","1058"
"G321","Coulsdon",529870,159060,"09/02/2007 07:22:56","22/01/2013","1058"
"G322","Dunfermline",309673,687607,"09/02/2007 07:22:56","22/01/2013","1058"
"G323","London (Elephant & Castle)",532122,179039,"09/02/2007 07:22:56","22/01/2013","1058"
"G324","Failsworth",389084,401197,"23/02/2007 07:52:35","22/01/2013","1058"
"G325","Falmouth",180733,32504,"09/02/2007 07:22:56","22/01/2013","1058"
"G326","Fareham",457476,106217,"09/02/2007 07:22:56","22/01/2013","1058"
"G327","Farnham",484285,146716,"23/02/2007 07:52:35","22/01/2013","1058"
"G328","Filey",511370,480690,"09/02/2007 07:22:56","22/01/2013","1058"
"G329","Flimby",302050,533800,"09/02/2007 07:22:56","22/01/2013","1058"
"G33","Wigan",358150,405500,"14/08/2003 16:42:00","22/01/2013","1058"
"G330","Flint",324500,373100,"09/02/2007 07:22:56","22/01/2013","1058"
"G331","Garve",239446,861465,"13/02/2007 16:58:06","22/01/2013","1058"
"G332","Gillingham (Dorset)",380961,126290,"09/02/2007 07:22:56","22/01/2013","1058"
"G333","Gleneagles",292863,710723,"09/02/2007 07:22:56","22/01/2013","1058"
"G334","Gobowen ",330400,333400,"09/02/2007 07:22:56","22/01/2013","1058"
"G335","Golspie",283105,899882,"09/02/2007 07:22:56","22/01/2013","1058"
"G336","Goole",474010,423900,"09/02/2007 07:22:56","22/01/2013","1058"
"G337","Goring-by-Sea",510923,103012,"09/02/2007 07:22:56","22/01/2013","1058"
"G338","Grange-over-Sands",341200,478100,"09/02/2007 07:22:56","22/01/2013","1058"
"G339","Great Malvern",377908,245908,"09/02/2007 07:22:56","22/01/2013","1058"
"G34","Worcester",385350,255200,"05/02/2007 08:41:53","22/01/2013","1058"
"G340","Greenock",227474,676228,"09/02/2007 07:22:56","22/01/2013","1058"
"G342","Hamilton",272200,655200,"23/02/2007 07:52:35","22/01/2013","1058"
"G343","Harlow",544664,210329,"09/02/2007 07:22:56","22/01/2013","1058"
"G344","Havant",471801,106460,"09/02/2007 07:22:56","22/01/2013","1058"
"G345","Haverfordwest",195674,215666,"09/02/2007 07:22:56","22/01/2013","1058"
"G346","Hayle",155866,37245,"09/02/2007 07:22:56","22/01/2013","1058"
"G347","Hazel Grove",391980,386750,"09/02/2007 07:22:56","22/01/2013","1058"
"G348","Helmsdale",302678,915399,"09/02/2007 07:22:56","22/01/2013","1058"
"G349","Hemel Hempstead",505516,206366,"09/02/2007 07:22:56","22/01/2013","1058"
"G35","Maidstone",575750,155750,"05/02/2007 08:41:53","22/01/2013","1058"
"G350","Herne Bay",617130,167450,"09/02/2007 07:22:56","22/01/2013","1058"
"G351","Hessle",502450,426131,"09/02/2007 07:22:56","22/01/2013","1058"
"G352","Heworth",428550,561970,"23/02/2007 07:52:35","22/01/2013","1058"
"G353","High Wycombe",486601,192816,"09/02/2007 07:22:56","22/01/2013","1058"
"G354","Highbridge",331900,147167,"23/02/2007 07:52:35","22/01/2013","1058"
"G355","Hilsea",465856,103825,"09/02/2007 07:22:56","22/01/2013","1058"
"G357","Horsham",517865,130980,"23/02/2007 07:52:35","22/01/2013","1058"
"G358","Hove",528751,105101,"09/02/2007 07:22:56","22/01/2013","1058"
"G359","Huntingdon",523638,271782,"09/02/2007 07:22:56","22/01/2013","1058"
"G36","Tilbury",563600,176400,"05/02/2007 08:41:53","22/01/2013","1058"
"G361","Invergordon",270764,868594,"09/02/2007 07:22:56","22/01/2013","1058"
"G362","Ivybridge",264358,56278,"09/02/2007 07:22:56","22/01/2013","1058"
"G363","Johnston (Pembrokeshire)",193300,210700,"09/02/2007 07:22:56","22/01/2013","1058"
"G364","Keighley",406438,441252,"09/02/2007 07:22:56","22/01/2013","1058"
"G365","Kendal",351878,492998,"09/02/2007 07:22:56","22/01/2013","1058"
"G366","Kidwelly",240799,206699,"09/02/2007 07:22:56","22/01/2013","1058"
"G367","Kilgetty",212600,207200,"09/02/2007 07:22:56","22/01/2013","1058"
"G368","Kings Lynn",562306,320061,"09/02/2007 07:22:56","22/01/2013","1058"
"G369","Kingussie ",275700,800400,"09/02/2007 07:22:56","22/01/2013","1058"
"G37","Yeovil",357000,115190,"05/02/2007 08:41:53","22/01/2013","1058"
"G370","Kirby Cross",621830,220761,"09/02/2007 07:22:56","22/01/2013","1058"
"G371","Knaresborough",435003,457095,"09/02/2007 07:22:56","22/01/2013","1058"
"G372","Kyle of Lochalsh",176247,827123,"09/02/2007 07:22:56","22/01/2013","1058"
"G373","Lancing",518218,104105,"09/02/2007 07:22:56","22/01/2013","1058"
"G374","Ledbury",370912,238193,"09/02/2007 07:22:56","22/01/2013","1058"
"G375","Lelant",154770,37220,"09/02/2007 07:22:56","22/01/2013","1058"
"G376","Lichfield",411900,309200,"09/02/2007 07:22:56","22/01/2013","1058"
"G377","Liphook",484113,131257,"09/02/2007 07:22:56","22/01/2013","1058"
"G378","Liskeard",225037,64205,"09/02/2007 07:22:56","22/01/2013","1058"
"G379","Littlehampton",502540,102180,"09/02/2007 07:22:56","22/01/2013","1058"
"G38","Heathrow 1 - 3",507900,175200,"12/07/2010 14:58:41","22/01/2013","1058"
"G380","Llandudno Junction",279488,377857,"09/02/2007 07:22:56","22/01/2013","1058"
"G381","Llandudno",278794,382100,"09/02/2007 07:22:56","22/01/2013","1058"
"G382","Llanelli",250650,199445,"09/02/2007 07:22:56","22/01/2013","1058"
"G383","Lockerbie",313780,581800,"09/02/2007 07:22:56","22/01/2013","1058"
"G384","Lostwithiel",210440,59743,"09/02/2007 07:22:56","22/01/2013","1058"
"G385","Loughborough",453913,320137,"23/02/2007 07:52:35","22/01/2013","1058"
"G386","Lowestoft",654650,293062,"09/02/2007 07:22:56","22/01/2013","1058"
"G387","Lymington",432383,95488,"09/02/2007 07:22:56","22/01/2013","1058"
"G388","Lytham",336530,427220,"09/02/2007 07:22:56","22/01/2013","1058"
"G389","Maghull",337448,402260,"09/02/2007 07:22:56","22/01/2013","1058"
"G39","Aberdeen",394165,805905,"28/08/2009 16:37:52","22/01/2013","1058"
"G390","Malvern Link",378431,247627,"09/02/2007 07:22:56","22/01/2013","1058"
"G391","Mansfield",453698,361029,"23/02/2007 07:52:35","22/01/2013","1058"
"G392","March",541889,297347,"09/02/2007 07:22:56","22/01/2013","1058"
"G393","Margate",635185,170771,"09/02/2007 07:22:56","22/01/2013","1058"
"G394","Market Harborough",473790,287249,"09/02/2007 07:22:56","22/01/2013","1058"
"G395","Maryport",303800,536200,"09/02/2007 07:22:56","22/01/2013","1058"
